case,subcase_id,method,metric,estimate,lower,upper,n_available,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label,prop_metric_missing,show_metric,method_label
2re,1,AdaStruMM,RMISE,2.464549910719273,2.3542761607381815,2.570096551461179,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43701650000000186,0.007907500000001316,0.4495000000000194,0.016633333333326544,50,2,"d=50, n_i=2",0,TRUE,AdaStruMM
2re,1,AdaStruMM,ci_width,1.9589839510673395,1.8985285694455007,2.019439332689178,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43701650000000186,0.007907500000001316,0.4495000000000194,0.016633333333326544,50,2,"d=50, n_i=2",0,TRUE,AdaStruMM
2re,1,AdaStruMM,coverage,0.907704,0.8966476824864201,0.9187603175135798,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43701650000000186,0.007907500000001316,0.4495000000000194,0.016633333333326544,50,2,"d=50, n_i=2",0,TRUE,AdaStruMM
2re,1,AdaStruMM,rmw2,0.7288083510741774,0.6754843924037686,0.7784883177092861,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43701650000000186,0.007907500000001316,0.4495000000000194,0.016633333333326544,50,2,"d=50, n_i=2",0,TRUE,AdaStruMM
2re,1,AdaStruMM,time,0.007907500000001316,0.007372707773055396,0.008442292226947236,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43701650000000186,0.007907500000001316,0.4495000000000194,0.016633333333326544,50,2,"d=50, n_i=2",0,TRUE,AdaStruMM
2re,1,FACE,RMISE,8.267813187826873,6.37168226632109,9.803832664558144,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04851366666666661,0.013256500000000055,0.05569999999999974,0.01433333333333356,50,2,"d=50, n_i=2",0,TRUE,FACE
2re,1,FACE,ci_width,4.134652163813494,3.673186379276287,4.5961179483507015,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04851366666666661,0.013256500000000055,0.05569999999999974,0.01433333333333356,50,2,"d=50, n_i=2",0,TRUE,FACE
2re,1,FACE,coverage,0.712806,0.6547942058157318,0.7708177941842683,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04851366666666661,0.013256500000000055,0.05569999999999974,0.01433333333333356,50,2,"d=50, n_i=2",0,TRUE,FACE
2re,1,FACE,rmw2,1.5810766934094538,1.4589899640783877,1.694389360685344,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04851366666666661,0.013256500000000055,0.05569999999999974,0.01433333333333356,50,2,"d=50, n_i=2",0,TRUE,FACE
2re,1,FACE,time,0.013256500000000055,0.01322068331520675,0.01329231668479336,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04851366666666661,0.013256500000000055,0.05569999999999974,0.01433333333333356,50,2,"d=50, n_i=2",0,TRUE,FACE
2re,1,HGAM-GS,RMISE,5.389253452056786,5.170972559689093,5.59903101687733,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14150499999999988,0.06588300000000019,0.5579666666666677,0.4970166666666652,50,2,"d=50, n_i=2",0,TRUE,HGAM-GS
2re,1,HGAM-GS,ci_width,4.600972407932704,2.3437565518475822,6.858188264017826,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14150499999999988,0.06588300000000019,0.5579666666666677,0.4970166666666652,50,2,"d=50, n_i=2",0,TRUE,HGAM-GS
2re,1,HGAM-GS,coverage,0.753312,0.7257378131733291,0.7808861868266709,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14150499999999988,0.06588300000000019,0.5579666666666677,0.4970166666666652,50,2,"d=50, n_i=2",0,TRUE,HGAM-GS
2re,1,HGAM-GS,rmw2,1.3033602658676662,1.2513871926406672,1.3533388560815716,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14150499999999988,0.06588300000000019,0.5579666666666677,0.4970166666666652,50,2,"d=50, n_i=2",0,TRUE,HGAM-GS
2re,1,HGAM-GS,time,0.06588300000000019,0.04526973211118319,0.0864962678888172,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14150499999999988,0.06588300000000019,0.5579666666666677,0.4970166666666652,50,2,"d=50, n_i=2",0,TRUE,HGAM-GS
2re,1,PACE,RMISE,5.4487730866738415,4.818869698672057,6.013048405537963,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053924166666666905,0.0031981666666664904,0.07023333333333236,0.004033333333336486,50,2,"d=50, n_i=2",0,TRUE,PACE
2re,1,PACE,ci_width,4.678698529406109,4.339584282800372,5.017812776011846,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053924166666666905,0.0031981666666664904,0.07023333333333236,0.004033333333336486,50,2,"d=50, n_i=2",0,TRUE,PACE
2re,1,PACE,coverage,0.83512,0.7973817227529425,0.8728582772470574,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053924166666666905,0.0031981666666664904,0.07023333333333236,0.004033333333336486,50,2,"d=50, n_i=2",0,TRUE,PACE
2re,1,PACE,rmw2,1.4189098129659274,1.3271898483595308,1.5050505709355457,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053924166666666905,0.0031981666666664904,0.07023333333333236,0.004033333333336486,50,2,"d=50, n_i=2",0,TRUE,PACE
2re,1,PACE,time,0.0031981666666664904,0.003148580683823699,0.003247752649509282,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053924166666666905,0.0031981666666664904,0.07023333333333236,0.004033333333336486,50,2,"d=50, n_i=2",0,TRUE,PACE
2re,1,bayesFPCA,RMISE,3.3709464634721464,3.1433799102901063,3.58409303154582,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35758633333333356,0.32989200000000085,1.8651166666666665,1.73245,50,2,"d=50, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,1,bayesFPCA,ci_width,2.73185611073242,2.4654909221258166,2.998221299339024,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35758633333333356,0.32989200000000085,1.8651166666666665,1.73245,50,2,"d=50, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,1,bayesFPCA,coverage,0.79988,0.7841081573810874,0.8156518426189127,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35758633333333356,0.32989200000000085,1.8651166666666665,1.73245,50,2,"d=50, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,1,bayesFPCA,rmw2,1.069377030749251,0.9858803128979036,1.1468105669327,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35758633333333356,0.32989200000000085,1.8651166666666665,1.73245,50,2,"d=50, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,1,bayesFPCA,time,0.32989200000000085,0.2626368182150554,0.3971471817849463,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35758633333333356,0.32989200000000085,1.8651166666666665,1.73245,50,2,"d=50, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,5,AdaStruMM,RMISE,2.244139042003384,2.153694133752383,2.3310773599192935,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815514166666668,0.013439166666665843,0.8909500000000056,0.023550000000007763,100,2,"d=100, n_i=2",0,TRUE,AdaStruMM
2re,5,AdaStruMM,ci_width,1.7520242151973227,1.7097191797885916,1.7943292506060537,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815514166666668,0.013439166666665843,0.8909500000000056,0.023550000000007763,100,2,"d=100, n_i=2",0,TRUE,AdaStruMM
2re,5,AdaStruMM,coverage,0.915745,0.9046092090446546,0.9268807909553455,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815514166666668,0.013439166666665843,0.8909500000000056,0.023550000000007763,100,2,"d=100, n_i=2",0,TRUE,AdaStruMM
