case,subcase_id,metric,method,n_obs_per_cluster,n_clusters,estimate,lower,upper,reason
2re,2,RMISE,Local-GAM,3,50,17.333051152568007,5.786665023266941,23.819820159345813,Local-GAM suppressed for n_i < 5
2re,6,RMISE,Local-GAM,3,100,15.097843419480155,10.630839102704613,18.5168845060579,Local-GAM suppressed for n_i < 5
2re,10,RMISE,Local-GAM,3,200,26.216237640180687,0,38.115048130756435,Local-GAM suppressed for n_i < 5
2re,14,RMISE,Local-GAM,3,300,36.96145908206368,0,53.687465309122075,Local-GAM suppressed for n_i < 5
2re,18,RMISE,Local-GAM,3,400,126.32940246860524,0,191.05435265748324,Local-GAM suppressed for n_i < 5
2re,22,RMISE,Local-GAM,3,500,88.94840809530436,0,132.509423473288,Local-GAM suppressed for n_i < 5
2re,2,coverage,Local-GAM,3,50,0.862878,0.8553917991980801,0.87036420080192,Local-GAM CI results suppressed
2re,6,coverage,Local-GAM,3,100,0.869377,0.8647503561206588,0.8740036438793412,Local-GAM CI results suppressed
2re,10,coverage,Local-GAM,3,200,0.8695247474747475,0.8660052443980393,0.8730442505514557,Local-GAM CI results suppressed
2re,14,coverage,Local-GAM,3,300,0.8669896907216494,0.8642122905020612,0.8697670909412377,Local-GAM CI results suppressed
2re,18,coverage,Local-GAM,3,400,0.8682454081632653,0.8658440370777931,0.8706467792487376,Local-GAM CI results suppressed
2re,22,coverage,Local-GAM,3,500,0.8675047422680412,0.865247594391877,0.8697618901442054,Local-GAM CI results suppressed
2re,3,coverage,Local-GAM,5,50,0.44817,0.43886242035432926,0.45747757964567076,Local-GAM CI results suppressed
2re,7,coverage,Local-GAM,5,100,0.447359,0.43954040032979175,0.45517759967020827,Local-GAM CI results suppressed
2re,11,coverage,Local-GAM,5,200,0.4464115,0.441482170435931,0.451340829564069,Local-GAM CI results suppressed
2re,15,coverage,Local-GAM,5,300,0.447002,0.4428640682108728,0.4511399317891272,Local-GAM CI results suppressed
2re,19,coverage,Local-GAM,5,400,0.4494655,0.44604198220428415,0.4528890177957159,Local-GAM CI results suppressed
2re,23,coverage,Local-GAM,5,500,0.4499548,0.44666544959297305,0.4532441504070269,Local-GAM CI results suppressed
2re,4,coverage,Local-GAM,10,50,0.676904,0.6688572191233395,0.6849507808766604,Local-GAM CI results suppressed
