case,subcase_id,method,seed,n_successful_trials,median_time,max_time,allowed_time,process_id,run_order,run_id,original_process_id,original_run_order
2re,22,HGAM-GS,47,5,18.48505,21.13901666666667,26.423770833333336,1,1,2re__subcase-022__HGAM-GS__seed-47,40,7
2re,22,HGAM-GS,73,5,18.48505,21.13901666666667,26.423770833333336,2,1,2re__subcase-022__HGAM-GS__seed-73,40,8
2re,22,HGAM-GS,87,5,18.48505,21.13901666666667,26.423770833333336,3,1,2re__subcase-022__HGAM-GS__seed-87,40,9
2re,9,HGAM-GS,35,5,1.17285,1.7094166666666666,2.1367708333333333,4,1,2re__subcase-009__HGAM-GS__seed-35,40,10
2re,24,HGAM-GS,13,5,18.936750000000004,20.21385,25.267312500000003,5,1,2re__subcase-024__HGAM-GS__seed-13,51,3
2re,24,HGAM-GS,20,5,18.936750000000004,20.21385,25.267312500000003,6,1,2re__subcase-024__HGAM-GS__seed-20,51,4
2re,24,HGAM-GS,40,5,18.936750000000004,20.21385,25.267312500000003,7,1,2re__subcase-024__HGAM-GS__seed-40,51,5
2re,24,HGAM-GS,62,5,18.936750000000004,20.21385,25.267312500000003,8,1,2re__subcase-024__HGAM-GS__seed-62,51,6
2re,24,HGAM-GS,68,5,18.936750000000004,20.21385,25.267312500000003,9,1,2re__subcase-024__HGAM-GS__seed-68,51,7
2re,24,HGAM-GS,73,5,18.936750000000004,20.21385,25.267312500000003,10,1,2re__subcase-024__HGAM-GS__seed-73,51,8
2re,24,HGAM-GS,77,5,18.936750000000004,20.21385,25.267312500000003,11,1,2re__subcase-024__HGAM-GS__seed-77,51,9
2re,13,HGAM-GS,35,5,5.59875,7.929283333333333,9.911604166666667,12,1,2re__subcase-013__HGAM-GS__seed-35,51,10
2re,10,HGAM-GS,13,5,0.93995,1.1403333333333334,1.4254166666666668,13,1,2re__subcase-010__HGAM-GS__seed-13,51,11
2re,2,HGAM-GS,19,5,0.060166666666666674,0.07138333333333334,0.08922916666666668,14,1,2re__subcase-002__HGAM-GS__seed-19,51,12
2re,24,HGAM-GS,14,5,18.936750000000004,20.21385,25.267312500000003,15,1,2re__subcase-024__HGAM-GS__seed-14,52,2
2re,24,HGAM-GS,21,5,18.936750000000004,20.21385,25.267312500000003,16,1,2re__subcase-024__HGAM-GS__seed-21,52,3
2re,24,HGAM-GS,50,5,18.936750000000004,20.21385,25.267312500000003,17,1,2re__subcase-024__HGAM-GS__seed-50,52,4
2re,24,HGAM-GS,56,5,18.936750000000004,20.21385,25.267312500000003,18,1,2re__subcase-024__HGAM-GS__seed-56,52,5
2re,24,HGAM-GS,57,5,18.936750000000004,20.21385,25.267312500000003,19,1,2re__subcase-024__HGAM-GS__seed-57,52,6
2re,24,HGAM-GS,58,5,18.936750000000004,20.21385,25.267312500000003,20,1,2re__subcase-024__HGAM-GS__seed-58,52,7
2re,24,HGAM-GS,60,5,18.936750000000004,20.21385,25.267312500000003,21,1,2re__subcase-024__HGAM-GS__seed-60,52,8
2re,24,HGAM-GS,94,5,18.936750000000004,20.21385,25.267312500000003,22,1,2re__subcase-024__HGAM-GS__seed-94,52,9
2re,13,HGAM-GS,26,5,5.59875,7.929283333333333,9.911604166666667,23,1,2re__subcase-013__HGAM-GS__seed-26,52,10
2re,9,HGAM-GS,33,5,1.17285,1.7094166666666666,2.1367708333333333,24,1,2re__subcase-009__HGAM-GS__seed-33,52,11
2re,8,HGAM-GS,41,5,0.35988333333333333,0.3712666666666667,0.46408333333333335,25,1,2re__subcase-008__HGAM-GS__seed-41,52,12
2re,24,HGAM-GS,39,5,18.936750000000004,20.21385,25.267312500000003,26,1,2re__subcase-024__HGAM-GS__seed-39,53,3
2re,24,HGAM-GS,69,5,18.936750000000004,20.21385,25.267312500000003,27,1,2re__subcase-024__HGAM-GS__seed-69,53,4
2re,24,HGAM-GS,74,5,18.936750000000004,20.21385,25.267312500000003,28,1,2re__subcase-024__HGAM-GS__seed-74,53,5
2re,24,HGAM-GS,79,5,18.936750000000004,20.21385,25.267312500000003,29,1,2re__subcase-024__HGAM-GS__seed-79,53,6
2re,24,HGAM-GS,84,5,18.936750000000004,20.21385,25.267312500000003,30,1,2re__subcase-024__HGAM-GS__seed-84,53,7
2re,24,HGAM-GS,95,5,18.936750000000004,20.21385,25.267312500000003,31,1,2re__subcase-024__HGAM-GS__seed-95,53,8
2re,24,HGAM-GS,99,5,18.936750000000004,20.21385,25.267312500000003,32,1,2re__subcase-024__HGAM-GS__seed-99,53,9
2re,13,HGAM-GS,47,5,5.59875,7.929283333333333,9.911604166666667,33,1,2re__subcase-013__HGAM-GS__seed-47,53,10
2re,9,HGAM-GS,48,5,1.17285,1.7094166666666666,2.1367708333333333,34,1,2re__subcase-009__HGAM-GS__seed-48,53,11
2re,8,HGAM-GS,99,5,0.35988333333333333,0.3712666666666667,0.46408333333333335,35,1,2re__subcase-008__HGAM-GS__seed-99,53,12
2re,24,HGAM-GS,16,5,18.936750000000004,20.21385,25.267312500000003,36,1,2re__subcase-024__HGAM-GS__seed-16,54,3
2re,24,HGAM-GS,24,5,18.936750000000004,20.21385,25.267312500000003,37,1,2re__subcase-024__HGAM-GS__seed-24,54,4
2re,24,HGAM-GS,63,5,18.936750000000004,20.21385,25.267312500000003,38,1,2re__subcase-024__HGAM-GS__seed-63,54,5
2re,24,HGAM-GS,76,5,18.936750000000004,20.21385,25.267312500000003,39,1,2re__subcase-024__HGAM-GS__seed-76,54,6
2re,24,HGAM-GS,90,5,18.936750000000004,20.21385,25.267312500000003,40,1,2re__subcase-024__HGAM-GS__seed-90,54,7
2re,24,HGAM-GS,92,5,18.936750000000004,20.21385,25.267312500000003,41,1,2re__subcase-024__HGAM-GS__seed-92,54,8
2re,24,HGAM-GS,98,5,18.936750000000004,20.21385,25.267312500000003,42,1,2re__subcase-024__HGAM-GS__seed-98,54,9
2re,13,HGAM-GS,63,5,5.59875,7.929283333333333,9.911604166666667,43,1,2re__subcase-013__HGAM-GS__seed-63,54,10
2re,9,HGAM-GS,17,5,1.17285,1.7094166666666666,2.1367708333333333,44,1,2re__subcase-009__HGAM-GS__seed-17,54,11
2re,8,HGAM-GS,79,5,0.35988333333333333,0.3712666666666667,0.46408333333333335,45,1,2re__subcase-008__HGAM-GS__seed-79,54,12
2re,24,HGAM-GS,43,5,18.936750000000004,20.21385,25.267312500000003,46,1,2re__subcase-024__HGAM-GS__seed-43,55,3
2re,24,HGAM-GS,49,5,18.936750000000004,20.21385,25.267312500000003,47,1,2re__subcase-024__HGAM-GS__seed-49,55,4
2re,24,HGAM-GS,53,5,18.936750000000004,20.21385,25.267312500000003,48,1,2re__subcase-024__HGAM-GS__seed-53,55,5
2re,24,HGAM-GS,54,5,18.936750000000004,20.21385,25.267312500000003,49,1,2re__subcase-024__HGAM-GS__seed-54,55,6
2re,24,HGAM-GS,78,5,18.936750000000004,20.21385,25.267312500000003,50,1,2re__subcase-024__HGAM-GS__seed-78,55,7
2re,24,HGAM-GS,89,5,18.936750000000004,20.21385,25.267312500000003,51,1,2re__subcase-024__HGAM-GS__seed-89,55,8
