case,quantity,metric,n_obs_per_cluster,n_clusters,comparison_method,comparison_estimate,adastrumm_estimate,numerator,denominator,numerator_estimate,denominator_estimate,value,oracle_estimate
3re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,50,bayesFPCA,4.922827699470366,4.095160427613952,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,4.922827699470366,4.095160427613952,1.2021086320026428,NA
3re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,100,bayesFPCA,4.7222255201770915,3.5263046482961786,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,4.7222255201770915,3.5263046482961786,1.3391428112879447,NA
3re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,200,bayesFPCA,4.536126300866543,3.2510840135012633,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,4.536126300866543,3.2510840135012633,1.3952657888964701,NA
3re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,300,bayesFPCA,4.5231047549317225,3.0797948402359197,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,4.5231047549317225,3.0797948402359197,1.4686383313069131,NA
3re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,400,bayesFPCA,4.109603061947295,3.019968627420288,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,4.109603061947295,3.019968627420288,1.3608098523386956,NA
3re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,500,bayesFPCA,4.221462227530775,2.957310485735955,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,4.221462227530775,2.957310485735955,1.427466695800872,NA
3re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,3,50,bayesFPCA,4.125614295622321,2.5516599253842016,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,4.125614295622321,2.5516599253842016,1.6168354781843157,NA
3re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,3,100,bayesFPCA,4.110145134009148,2.1874369297787415,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,4.110145134009148,2.1874369297787415,1.8789776647068346,NA
3re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,3,200,bayesFPCA,3.685919360631205,1.9715730515656933,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,3.685919360631205,1.9715730515656933,1.8695322284427103,NA
3re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,3,300,bayesFPCA,3.703641458660312,1.8076564117717495,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,3.703641458660312,1.8076564117717495,2.0488636195139756,NA
