case,subcase_id,method,metric,estimate,lower,upper,n_available,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label,prop_metric_missing,show_metric,method_label,reference_type,reference_label
3re,1,Oracle-GP,RMISE,2.7265932895150695,2.652227034072054,2.7989844037783724,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024355000000000057,1.3166666666696378e-5,0.028049999999999877,3.3333333336334664e-5,50,2,"d=50, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,5,Oracle-GP,RMISE,2.760817486428784,2.7137723265020197,2.8070743037286547,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025423333333333253,1.416666666667273e-5,0.02881666666666547,1.6666666668167332e-5,100,2,"d=100, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,9,Oracle-GP,RMISE,2.764875289050738,2.727829604663836,2.8014311299631025,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04078483333333376,1.3166666667075333e-5,0.05493333333332278,1.6666666670062114e-5,200,2,"d=200, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,13,Oracle-GP,RMISE,2.7875824815170347,2.7556842674681032,2.8191197918056123,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051770166666666534,1.333333333286646e-5,0.06398333333333237,1.6666666670062114e-5,300,2,"d=300, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,17,Oracle-GP,RMISE,2.7691037733879,2.745315996111975,2.792688936683412,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06098933333333344,1.2499999999666519e-5,0.07925000000000182,1.6666666670062114e-5,400,2,"d=400, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,21,Oracle-GP,RMISE,2.768784072534607,2.7464331578104897,2.790955999352507,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06700916666666666,1.316666666663006e-5,0.08116666666666675,1.6666666668167332e-5,500,2,"d=500, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,2,Oracle-GP,RMISE,1.485971118376512,1.409850625877949,1.5583778559803265,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024868000000000164,1.5166666666649084e-5,0.02858333333333197,3.3333333332545106e-5,50,3,"d=50, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,6,Oracle-GP,RMISE,1.490798797595112,1.4448807694428425,1.5353441542261212,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027003499999999937,1.4499999999941338e-5,0.035266666666666426,3.3333333332545106e-5,100,3,"d=100, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,10,Oracle-GP,RMISE,1.4901429957918628,1.463060268614127,1.5167422148202556,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04048400000000001,1.3666666666708238e-5,0.04381666666666698,1.6666666667219943e-5,200,3,"d=200, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,14,Oracle-GP,RMISE,1.4989461007823746,1.4754166761473908,1.5221118414385832,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05136583333333344,1.3166666666696378e-5,0.058283333333330724,1.6666666670062114e-5,300,3,"d=300, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
