case,subcase_id,n_clusters,n_obs_per_cluster,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit
3re,1,50,2,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45497,0.012693333333333338,0.46515,0.02570000000000001
3re,1,50,2,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07724666666666667,0.017339999999999994,0.07871666666666667,0.017549999999999986
3re,1,50,2,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06508333333333333,0.01729,0.07396666666666668,0.02778333333333333
3re,1,50,2,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04683333333333334,2.3333333333332245e-5,0.046950000000000006,3.333333333334447e-5
3re,1,50,2,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07231666666666667,0.008673333333333328,0.07636666666666668,0.010833333333333339
3re,1,50,2,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4991066666666667,0.4632533333333333,1.1327,1.0914499999999998
3re,2,50,3,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46558000000000005,0.017183333333333328,0.47275000000000006,0.021550000000000003
3re,2,50,3,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07837666666666668,0.016679999999999993,0.08268333333333334,0.017166666666666656
3re,2,50,3,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06461333333333333,0.014956666666666674,0.06976666666666667,0.01893333333333335
3re,2,50,3,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09723333333333334,0.04697333333333334,0.09815,0.04791666666666667
3re,2,50,3,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043586666666666676,3.3333333333338546e-5,0.045383333333333345,5.000000000000189e-5
3re,2,50,3,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08684,0.02082,0.08966666666666666,0.02098333333333334
3re,2,50,3,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35606666666666664,0.31672666666666666,0.63335,0.5948166666666667
3re,3,50,5,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46046000000000004,0.018339999999999995,0.47070000000000006,0.022083333333333323
3re,3,50,5,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08129333333333333,0.016950000000000003,0.08231666666666665,0.018000000000000002
3re,3,50,5,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06800999999999999,0.017243333333333333,0.07246666666666665,0.021749999999999995
3re,3,50,5,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06527000000000001,0.015256666666666661,0.06741666666666667,0.01653333333333332
3re,3,50,5,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04646,3.33333333333267e-5,0.0466,5.000000000000189e-5
3re,3,50,5,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09877000000000001,0.03479333333333334,0.10256666666666668,0.03611666666666669
3re,3,50,5,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26667,0.22013,0.5259,0.4784333333333333
3re,4,50,10,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49427333333333334,0.029910000000000003,0.5024000000000001,0.03496666666666668
3re,4,50,10,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08188333333333334,0.016813333333333336,0.08473333333333333,0.017416666666666667
3re,4,50,10,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07569666666666666,0.024966666666666668,0.07765,0.027299999999999998
3re,4,50,10,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06356333333333333,0.013549999999999998,0.06555,0.014083333333333344
3re,4,50,10,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04667000000000001,2.0000000000000757e-5,0.05013333333333335,3.333333333334447e-5
3re,4,50,10,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23019,0.15727333333333335,0.23293333333333335,0.1602666666666667
3re,4,50,10,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5853833333333334,0.5382633333333333,1.4056666666666666,1.3606666666666667
3re,5,100,2,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84997,0.023453333333333333,0.8603166666666666,0.032850000000000004
3re,5,100,2,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13167,0.03353999999999999,0.13665000000000002,0.03558333333333333
3re,5,100,2,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16536,0.09349000000000003,0.18505,0.11098333333333338
3re,5,100,2,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05431333333333334,2.3333333333332245e-5,0.06353333333333336,3.333333333334447e-5
3re,5,100,2,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13951,0.015250000000000003,0.14354999999999998,0.015750000000000004
3re,5,100,2,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1680533333333334,1.10168,2.8122666666666665,2.7467333333333332
3re,6,100,3,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8472366666666666,0.02984,0.8589833333333333,0.033616666666666656
3re,6,100,3,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12298999999999999,0.03278666666666666,0.16636666666666666,0.049716666666666645
3re,6,100,3,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18528666666666666,0.10746,0.2031666666666667,0.1294833333333333
3re,6,100,3,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17321,0.10426333333333333,0.19288333333333335,0.1226
3re,6,100,3,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06343333333333334,2.9999999999995217e-5,0.06376666666666668,6.666666666665932e-5
3re,6,100,3,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16279333333333332,0.031203333333333336,0.17026666666666665,0.03175000000000002
3re,6,100,3,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9294833333333334,0.8663333333333334,3.4001833333333336,3.3388833333333334
3re,7,100,5,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8621766666666667,0.03442333333333334,0.8748666666666668,0.046683333333333334
3re,7,100,5,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11537,0.029466666666666665,0.11728333333333334,0.029766666666666674
3re,7,100,5,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1858,0.11756666666666667,0.22708333333333333,0.1610666666666667
3re,7,100,5,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09790333333333334,0.03373333333333333,0.11596666666666669,0.044916666666666674
3re,7,100,5,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04722333333333333,3.666666666666411e-5,0.05311666666666666,4.9999999999987094e-5
3re,7,100,5,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20869333333333337,0.07743666666666667,0.21538333333333337,0.08183333333333334
3re,7,100,5,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.878566666666667,5.809286666666667,24.574166666666667,24.482033333333334
3re,8,100,10,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8681333333333333,0.06871333333333333,0.9056333333333332,0.08739999999999999
3re,8,100,10,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14677666666666667,0.03834666666666667,0.15251666666666666,0.040016666666666666
3re,8,100,10,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2957166666666667,0.22045666666666666,0.3307833333333334,0.2556333333333333
3re,8,100,10,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09589333333333334,0.02639666666666667,0.09796666666666667,0.027016666666666675
3re,8,100,10,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05407,1.666666666666335e-5,0.06125,1.6666666666672234e-5
3re,8,100,10,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58103,0.42224,0.6264000000000001,0.4476833333333333
3re,8,100,10,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78354,0.7169166666666666,1.9988833333333331,1.9270666666666665
3re,9,200,2,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6464833333333333,0.05781666666666666,1.6707,0.07863333333333333
3re,9,200,2,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28115666666666667,0.08595666666666667,0.41353333333333336,0.12688333333333335
3re,9,200,2,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11824,0.95741,1.3002333333333334,1.1562
3re,9,200,2,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07462,4.3333333333333e-5,0.08003333333333335,1.0000000000000379e-4
3re,9,200,2,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3456633333333333,0.03833666666666666,0.37416666666666665,0.043649999999999994
3re,9,200,2,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71793,2.6216333333333335,6.797533333333334,6.669216666666666
3re,10,200,3,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6052333333333335,0.04377666666666667,1.6443333333333334,0.06766666666666667
3re,10,200,3,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20476666666666665,0.06713000000000001,0.31045,0.10851666666666668
