case,subcase_id,n_clusters,n_obs_per_cluster,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit
3re,1,50,2,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5012251666666667,0.013977833333333243,0.5606833333333333,0.02806666666666615
3re,1,50,2,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09095100000000003,0.023152000000000148,0.11006666666666737,0.02866666666666712
3re,1,50,2,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653913333333334,0.021241666666667016,0.20441666666667213,0.15966666666666546
3re,1,50,2,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024355000000000057,1.3166666666696378e-5,0.028049999999999877,3.3333333336334664e-5
3re,1,50,2,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10735666666666685,0.004804166666666123,0.17415000000000874,0.01756666666666664
3re,1,50,2,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42299833333333425,0.3817226666666659,3.1708000000000234,3.130483333333359
3re,2,50,3,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5110089999999998,0.01655616666666477,0.5554833333333288,0.03296666666666776
3re,2,50,3,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06526400000000133,0.015218166666667761,0.07244999999999588,0.021050000000013825
3re,2,50,3,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054072000000000724,0.00988550000000032,0.062016666666674304,0.017899999999993574
3re,2,50,3,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07101233333333525,0.0438179999999993,0.07783333333333455,0.0477333333333263
3re,2,50,3,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024868000000000164,1.5166666666649084e-5,0.02858333333333197,3.3333333332545106e-5
3re,2,50,3,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09411466666666668,0.008892333333332317,0.1766833333333428,0.01316666666668122
3re,2,50,3,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5118616666666672,0.4717753333333338,3.0412499999999985,2.9922000000000026
3re,3,50,5,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48445549999999793,0.017851000000002386,0.5127833333333304,0.035166666666676366
3re,3,50,5,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08165449999999912,0.02061866666666671,0.10843333333333381,0.02939999999999922
3re,3,50,5,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557341666666667,0.011225166666666685,0.06601666666667066,0.021699999999994665
3re,3,50,5,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040008333333332,0.012553666666666989,0.043699999999989816,0.014733333333333576
3re,3,50,5,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023959500000000047,1.5166666666724875e-5,0.028033333333333608,1.6666666670062114e-5
3re,3,50,5,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10900699999999963,0.02749916666666587,0.14038333333332959,0.039999999999993936
3re,3,50,5,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0149455,0.9791595000000002,17.12835,17.0971
3re,4,50,10,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5409676666666672,0.030881166666666255,1.177649999999994,0.06106666666667782
3re,4,50,10,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06539816666666533,0.015539333333333313,0.08599999999999758,0.02364999999999782
3re,4,50,10,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056722833333333264,0.013731000000000673,0.15143333333333356,0.04366666666666674
3re,4,50,10,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03983533333333328,0.011543166666666767,0.048216666666666665,0.016366666666666183
3re,4,50,10,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02290599999999976,1.3333333333510685e-5,0.02541666666666439,1.6666666670062114e-5
3re,4,50,10,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20686983333333372,0.1479118333333332,0.23344999999999344,0.16660000000000158
3re,4,50,10,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6439421666666665,1.6029345000000002,21.82336666666667,21.776083333333343
3re,5,100,2,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9344201666666665,0.02734300000000068,0.9892666666666627,0.05528333333334861
3re,5,100,2,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1121836666666671,0.03458216666666764,0.12488333333333988,0.042966666666658666
3re,5,100,2,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15831866666666664,0.0986843333333334,1.14841666666667,1.09071666666667
3re,5,100,2,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025423333333333253,1.416666666667273e-5,0.02881666666666547,1.6666666668167332e-5
3re,5,100,2,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16120216666666662,0.008159666666666452,0.23636666666666314,0.01029999999999139
3re,5,100,2,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.065093833333333,1.0102953333333335,6.28765,6.170783333333338
3re,6,100,3,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8995324999999987,0.02573033333333499,0.9741000000000023,0.04843333333333628
