case,subcase_id,method,n_trials,n_read,n_complete,n_oom,n_timeout,n_resource_fail,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,n_nonresource_incomplete,n_successful_fits,prop_complete,prop_resource_fail,mean_fit_time,median_fit_time,sd_fit_time,max_fit_time,max_to_median_fit_time,mean_total_time_observed,max_total_time_observed,mean_total_time_complete,max_total_time_complete,fit_cutoff_minutes,fit_time_exempt,decision_stage,decision,decision_reason
2re,1,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01185666666666666,0.01221666666666667,0.00161144345231224,0.01336666666666667,1.0941336971350613,0.4433766666666667,0.45161666666666667,0.4433766666666667,0.45161666666666667,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,1,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01566666666666667,0.01511666666666668,0.00106026726190459,0.01748333333333334,1.156560088202866,0.06177,0.06768333333333332,0.06177,0.06768333333333332,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,1,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.02127333333333332,0.02029999999999998,0.00486768824894208,0.02641666666666665,1.301313628899836,0.05774666666666667,0.06203333333333334,0.05774666666666667,0.06203333333333334,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,1,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2.000000000000372e-5,1.6666666666672234e-5,7.453559925003444e-6,3.333333333334447e-5,2,0.03175333333333332,0.03453333333333332,0.03175333333333332,0.03453333333333332,30,TRUE,initial,include,All runs completed; method exempt from the fitting-time cutoff
2re,1,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01755666666666665,0.01754999999999998,2.0969554650068393e-4,0.01776666666666665,1.0123456790123455,0.07528333333333334,0.07781666666666667,0.07528333333333334,0.07781666666666667,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,1,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.22486666666666663,0.08523333333333333,0.3017820435439384,0.7609999999999999,8.92843175596402,0.26292,0.7945666666666666,0.26292,0.7945666666666666,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,2,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01041333333333333,0.01046666666666667,5.345558904361672e-4,0.01091666666666665,1.0429936305732472,0.4663566666666667,0.47925000000000006,0.4663566666666667,0.47925000000000006,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,2,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01683666666666666,0.01645,8.763402434113339e-4,0.01840000000000001,1.1185410334346513,0.07815333333333334,0.07951666666666668,0.07815333333333334,0.07951666666666668,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,2,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01950333333333333,0.01539999999999999,0.00679036695130192,0.02825,1.8344155844155856,0.06094000000000001,0.07138333333333334,0.06094000000000001,0.07138333333333334,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,2,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.04713666666666667,0.04761666666666668,0.00123802037319441,0.04843333333333334,1.017150857542877,0.08679999999999999,0.0882,0.08679999999999999,0.0882,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,2,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.0000000000007055e-5,3.333333333334447e-5,7.453559924991858e-6,3.333333333334447e-5,1,0.03932,0.03985000000000002,0.03932,0.03985000000000002,30,TRUE,initial,include,All runs completed; method exempt from the fitting-time cutoff
2re,2,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01644,0.01613333333333333,9.902721287044771e-4,0.01766666666666667,1.09504132231405,0.07787333333333334,0.08055,0.07787333333333334,0.08055,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,2,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.7772966666666667,0.13678333333333337,1.1955467873529668,2.8697166666666667,20.9800170586085,0.8245499999999999,2.9151666666666665,0.8245499999999999,2.9151666666666665,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,3,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01453,0.01515000000000001,0.00236553376640452,0.01731666666666666,1.1430143014301417,0.4644333333333333,0.4688333333333334,0.4644333333333333,0.4688333333333334,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,3,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01611999999999999,0.01654999999999997,7.54836258918296e-4,0.01681666666666667,1.0161127895266886,0.07161000000000001,0.072,0.07161000000000001,0.072,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,3,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.02462666666666666,0.02311666666666664,0.00458155420014747,0.03266666666666668,1.413121845710168,0.06898666666666667,0.07540000000000001,0.06898666666666667,0.07540000000000001,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,3,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01423333333333334,0.01466666666666668,8.983781683307557e-4,0.01518333333333332,1.035227272727271,0.05915,0.06035000000000001,0.05915,0.06035000000000001,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,3,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.0000000000001136e-5,3.3333333333314856e-5,1.3944333775565504e-5,5.000000000000189e-5,1.5000000000008882,0.03945,0.03964999999999999,0.03945,0.03964999999999999,30,TRUE,initial,include,All runs completed; method exempt from the fitting-time cutoff
2re,3,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.03678333333333334,0.03755,0.0019506409203131,0.03780000000000001,1.0066577896138489,0.09831,0.10015000000000002,0.09831,0.10015000000000002,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,3,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.97605,0.4157,5.239668481905871,11.508233333333331,27.68398684949082,4.021986666666667,11.560733333333332,4.021986666666667,11.560733333333332,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,4,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.02174,0.01811666666666666,0.00525772711772343,0.02783333333333333,1.5363385464581418,0.4754866666666666,0.49045000000000005,0.4754866666666666,0.49045000000000005,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
