case,subcase_id,n_clusters,n_obs_per_cluster,subcase_label,method,GP_method,chosen_GP_method,chosen,rmw2_est,rmw2_emp_est,rel_rmw2_emp_bound,best_rel_rmw2_emp_bound,rel_to_best_gp_method
2re,1,50,2,"d=50, n_i=2",AdaStruMM,Empirical,FPC,FALSE,0.533633695697236,0.43194128507626256,1.2354310970830649,1.19887620160709,1.0304909676470124
2re,1,50,2,"d=50, n_i=2",AdaStruMM,EmpiricalCorrected,FPC,FALSE,0.5178441271695149,0.43194128507626256,1.19887620160709,1.19887620160709,1
2re,1,50,2,"d=50, n_i=2",AdaStruMM,FPC,FPC,TRUE,0.6076563492962608,0.43194128507626256,1.4068031241537247,1.19887620160709,1.1734348569668072
2re,1,50,2,"d=50, n_i=2",Di-95,Empirical,Empirical,TRUE,1.1710769863182855,0.2768786110380894,4.229568264329322,4.229568264329322,1
2re,1,50,2,"d=50, n_i=2",Di-99,Empirical,Empirical,TRUE,2.0950169060579125,0.2768786110380894,7.566553798443127,7.566553798443127,1
2re,1,50,2,"d=50, n_i=2",Di-Oracle,Empirical,Empirical,TRUE,4.6777614383288215,0.43194128507626256,10.829623376943296,10.829623376943296,1
2re,1,50,2,"d=50, n_i=2",FACE-95,Direct,FPC,FALSE,1.122747805958671,0.43194128507626256,2.599306537138355,2.5060358209772238,1.0372184289547628
2re,1,50,2,"d=50, n_i=2",FACE-95,Empirical,FPC,FALSE,5.012378110290994,0.43194128507626256,11.604304296603694,2.5060358209772238,4.630542069457976
2re,1,50,2,"d=50, n_i=2",FACE-95,FPC,FPC,TRUE,1.0824603329600486,0.43194128507626256,2.5060358209772238,2.5060358209772238,1
2re,1,50,2,"d=50, n_i=2",FACE-99,Direct,FPC,FALSE,1.122747805958671,0.43194128507626256,2.599306537138355,2.5872428901040894,1.0046627423657855
2re,1,50,2,"d=50, n_i=2",FACE-99,Empirical,FPC,FALSE,5.012378110290994,0.43194128507626256,11.604304296603694,2.5872428901040894,4.485200960833187
2re,1,50,2,"d=50, n_i=2",FACE-99,FPC,FPC,TRUE,1.1175370187559839,0.43194128507626256,2.5872428901040894,2.5872428901040894,1
2re,1,50,2,"d=50, n_i=2",Goldsmith-95,Empirical,Empirical,TRUE,1.526795938990772,0.43194128507626256,3.53473027872574,3.53473027872574,1
2re,1,50,2,"d=50, n_i=2",Goldsmith-99,Empirical,Empirical,TRUE,1.279444199130153,0.43194128507626256,2.9620789753965227,2.9620789753965227,1
2re,1,50,2,"d=50, n_i=2",HGAM-GS,Empirical,Empirical,TRUE,1.2214902818576707,0.43194128507626256,2.827908153401005,2.827908153401005,1
2re,1,50,2,"d=50, n_i=2",Oracle-GP,Individual,Individual,TRUE,NA,0.43194128507626256,NA,NA,NA
2re,1,50,2,"d=50, n_i=2",PACE-AIC-GCV,Direct,FPC,FALSE,1.1144019512306536,0.43194128507626256,2.5799848028740695,2.5642809058013225,1.0061240939076601
2re,1,50,2,"d=50, n_i=2",PACE-AIC-GCV,Empirical,FPC,FALSE,2.594507417009666,0.43194128507626256,6.006620590924959,2.5642809058013225,2.342419107569623
2re,1,50,2,"d=50, n_i=2",PACE-AIC-GCV,FPC,FPC,TRUE,1.1076187897483458,0.43194128507626256,2.5642809058013225,2.5642809058013225,1
2re,1,50,2,"d=50, n_i=2",PACE-AIC-default,Direct,FPC,FALSE,2.101550460077882,0.43194128507626256,4.865361410652925,4.780668607101935,1.0177156817406616
2re,1,50,2,"d=50, n_i=2",PACE-AIC-default,Empirical,FPC,FALSE,2.5438424746170787,0.43194128507626256,5.8893246895071485,4.780668607101935,1.2319039811206003
2re,1,50,2,"d=50, n_i=2",PACE-AIC-default,FPC,FPC,TRUE,2.0649681416753563,0.43194128507626256,4.780668607101935,4.780668607101935,1
2re,1,50,2,"d=50, n_i=2",PACE-BIC-GCV,Direct,FPC,FALSE,1.1144019512306536,0.43194128507626256,2.5799848028740695,2.5642809058013225,1.0061240939076601
2re,1,50,2,"d=50, n_i=2",PACE-BIC-GCV,Empirical,FPC,FALSE,2.594507417009666,0.43194128507626256,6.006620590924959,2.5642809058013225,2.342419107569623
2re,1,50,2,"d=50, n_i=2",PACE-BIC-GCV,FPC,FPC,TRUE,1.1076187897483458,0.43194128507626256,2.5642809058013225,2.5642809058013225,1
2re,1,50,2,"d=50, n_i=2",PACE-BIC-default,Direct,FPC,FALSE,2.101550460077882,0.43194128507626256,4.865361410652925,4.780668607101935,1.0177156817406616
2re,1,50,2,"d=50, n_i=2",PACE-BIC-default,Empirical,FPC,FALSE,2.5438424746170787,0.43194128507626256,5.8893246895071485,4.780668607101935,1.2319039811206003
2re,1,50,2,"d=50, n_i=2",PACE-BIC-default,FPC,FPC,TRUE,2.0649681416753563,0.43194128507626256,4.780668607101935,4.780668607101935,1
2re,1,50,2,"d=50, n_i=2",PACE-FVE95-GCV,Direct,FPC,FALSE,1.1144019512306536,0.43194128507626256,2.5799848028740695,2.5799848028740695,1
2re,1,50,2,"d=50, n_i=2",PACE-FVE95-GCV,Empirical,FPC,FALSE,1.6346811883232129,0.43194128507626256,3.7844985992357674,2.5799848028740695,1.4668685625666806
2re,1,50,2,"d=50, n_i=2",PACE-FVE95-GCV,FPC,FPC,TRUE,1.143971557345392,0.43194128507626256,2.6484422695168277,2.5799848028740695,1.0265340580946436
2re,1,50,2,"d=50, n_i=2",PACE-FVE95-default,Direct,FPC,FALSE,2.101550460077882,0.43194128507626256,4.865361410652925,4.620602307710384,1.0529712549669363
2re,1,50,2,"d=50, n_i=2",PACE-FVE95-default,Empirical,FPC,FALSE,2.5189223493285415,0.43194128507626256,5.831631372962661,4.620602307710384,1.2620933342892195
2re,1,50,2,"d=50, n_i=2",PACE-FVE95-default,FPC,FPC,TRUE,1.9958288986187676,0.43194128507626256,4.620602307710384,4.620602307710384,1
2re,1,50,2,"d=50, n_i=2",PACE-FVE99-GCV,Direct,FPC,FALSE,1.1144019512306536,0.43194128507626256,2.5799848028740695,2.578387814634811,1.0006193747233034
2re,1,50,2,"d=50, n_i=2",PACE-FVE99-GCV,Empirical,FPC,FALSE,2.5748946578690064,0.43194128507626256,5.961214514177289,2.578387814634811,2.3119929749674233
2re,1,50,2,"d=50, n_i=2",PACE-FVE99-GCV,FPC,FPC,TRUE,1.1137121460783366,0.43194128507626256,2.578387814634811,2.578387814634811,1
2re,1,50,2,"d=50, n_i=2",PACE-FVE99-default,Direct,FPC,FALSE,2.101550460077882,0.43194128507626256,4.865361410652925,4.822054175762104,1.0089810759714197
2re,1,50,2,"d=50, n_i=2",PACE-FVE99-default,Empirical,FPC,FALSE,2.5434628364297196,0.43194128507626256,5.888445777950241,4.822054175762104,1.2211488223314286
2re,1,50,2,"d=50, n_i=2",PACE-FVE99-default,FPC,FPC,TRUE,2.0828442773860414,0.43194128507626256,4.822054175762104,4.822054175762104,1
2re,1,50,2,"d=50, n_i=2",PACE-Oracle-GCV,Direct,FPC,FALSE,1.1144019512306536,0.43194128507626256,2.5799848028740695,2.578387814634811,1.0006193747233034
2re,1,50,2,"d=50, n_i=2",PACE-Oracle-GCV,Empirical,FPC,FALSE,2.5748946578690064,0.43194128507626256,5.961214514177289,2.578387814634811,2.3119929749674233
2re,1,50,2,"d=50, n_i=2",PACE-Oracle-GCV,FPC,FPC,TRUE,1.1137121460783366,0.43194128507626256,2.578387814634811,2.578387814634811,1
2re,1,50,2,"d=50, n_i=2",PACE-Oracle-default,Direct,FPC,FALSE,2.101550460077882,0.43194128507626256,4.865361410652925,4.822054175762104,1.0089810759714197
2re,1,50,2,"d=50, n_i=2",PACE-Oracle-default,Empirical,FPC,FALSE,2.5434628364297196,0.43194128507626256,5.888445777950241,4.822054175762104,1.2211488223314286
2re,1,50,2,"d=50, n_i=2",PACE-Oracle-default,FPC,FPC,TRUE,2.0828442773860414,0.43194128507626256,4.822054175762104,4.822054175762104,1
2re,1,50,2,"d=50, n_i=2",bayesFPCA-Oracle,Empirical,FPC,FALSE,0.7911263765272274,0.43194128507626256,1.8315599917418126,1.83020296515025,1.0007414623500248
2re,1,50,2,"d=50, n_i=2",bayesFPCA-Oracle,FPC,FPC,TRUE,0.7905402207173852,0.43194128507626256,1.83020296515025,1.83020296515025,1
2re,1,50,2,"d=50, n_i=2",bayesFPCA-PVE95-L15,Empirical,FPC,FALSE,1.6910433282497106,0.43194128507626256,3.914984250581983,3.894540906317411,1.0052492308480856
2re,1,50,2,"d=50, n_i=2",bayesFPCA-PVE95-L15,FPC,FPC,TRUE,1.6822130038568148,0.43194128507626256,3.894540906317411,3.894540906317411,1
2re,1,50,2,"d=50, n_i=2",bayesFPCA-PVE99-L15,Empirical,FPC,FALSE,1.6910433282497106,0.43194128507626256,3.914984250581983,3.894540906317411,1.0052492308480856
2re,1,50,2,"d=50, n_i=2",bayesFPCA-PVE99-L15,FPC,FPC,TRUE,1.6822130038568148,0.43194128507626256,3.894540906317411,3.894540906317411,1
2re,2,50,10,"d=50, n_i=10",AdaStruMM,Empirical,FPC,FALSE,0.5341235036813806,0.5335117405973488,1.0011466722050892,0.5588488271279716,1.791444525973453
2re,2,50,10,"d=50, n_i=10",AdaStruMM,EmpiricalCorrected,FPC,FALSE,0.5339044308094218,0.5335117405973488,1.0007360479295795,0.5588488271279716,1.7907097579009852
2re,2,50,10,"d=50, n_i=10",AdaStruMM,FPC,FPC,TRUE,0.298152410491831,0.5335117405973488,0.5588488271279716,0.5588488271279716,1
2re,2,50,10,"d=50, n_i=10",Di-95,Empirical,Empirical,TRUE,0.8330998399768568,0.5335117405973488,1.5615398436107006,1.5615398436107006,1
2re,2,50,10,"d=50, n_i=10",Di-99,Empirical,Empirical,TRUE,0.7537976369380216,0.5335117405973488,1.4128979356556026,1.4128979356556026,1
2re,2,50,10,"d=50, n_i=10",Di-Oracle,Empirical,Empirical,TRUE,0.7903127242123961,0.5335117405973488,1.481340829214965,1.481340829214965,1
2re,2,50,10,"d=50, n_i=10",FACE-95,Direct,FPC,FALSE,0.8375609408334315,0.5335117405973488,1.5699016105918355,1.3941834901539023,1.1260365810375046
2re,2,50,10,"d=50, n_i=10",FACE-95,Empirical,FPC,FALSE,0.7438132605440952,0.5335117405973488,1.3941834901539023,1.3941834901539023,1
2re,2,50,10,"d=50, n_i=10",FACE-95,FPC,FPC,TRUE,0.830708427332234,0.5335117405973488,1.5570574443256442,1.3941834901539023,1.1168239011019723
2re,2,50,10,"d=50, n_i=10",FACE-99,Direct,FPC,FALSE,0.8375609408334315,0.5335117405973488,1.5699016105918355,1.3941834901539023,1.1260365810375046
2re,2,50,10,"d=50, n_i=10",FACE-99,Empirical,FPC,FALSE,0.7438132605440952,0.5335117405973488,1.3941834901539023,1.3941834901539023,1
2re,2,50,10,"d=50, n_i=10",FACE-99,FPC,FPC,TRUE,0.8272267413875428,0.5335117405973488,1.5505314662079126,1.3941834901539023,1.1121430408251005
2re,2,50,10,"d=50, n_i=10",Goldsmith-95,Empirical,Empirical,TRUE,0.9487539505739151,0.5335117405973488,1.778318785471597,1.778318785471597,1
2re,2,50,10,"d=50, n_i=10",Goldsmith-99,Empirical,Empirical,TRUE,0.8727492477487911,0.5335117405973488,1.6358576228737036,1.6358576228737036,1
2re,2,50,10,"d=50, n_i=10",HGAM-GS,Empirical,Empirical,TRUE,0.6438583364248331,0.5335117405973488,1.2068306794972015,1.2068306794972015,1
2re,2,50,10,"d=50, n_i=10",Local-GAM,Empirical,Empirical,TRUE,0.8074159731851893,0.5335117405973488,1.5133986972454672,1.5133986972454672,1
2re,2,50,10,"d=50, n_i=10",Oracle-GP,Individual,Individual,TRUE,NA,0.5335117405973488,NA,NA,NA
2re,2,50,10,"d=50, n_i=10",PACE-AIC-GCV,Direct,FPC,FALSE,0.8504287021012515,0.5335117405973488,1.5940205948402657,1.5066314210526792,1.058003020889162
2re,2,50,10,"d=50, n_i=10",PACE-AIC-GCV,Empirical,FPC,FALSE,0.8038055518844721,0.5335117405973488,1.5066314210526792,1.5066314210526792,1
2re,2,50,10,"d=50, n_i=10",PACE-AIC-GCV,FPC,FPC,TRUE,0.8683195150126916,0.5335117405973488,1.6275546514505448,1.5066314210526792,1.0802606587836705
2re,2,50,10,"d=50, n_i=10",PACE-AIC-default,Direct,FPC,FALSE,0.8493513959225389,0.5335117405973488,1.5920013212297048,1.4991981386379978,1.0619018795447661
2re,2,50,10,"d=50, n_i=10",PACE-AIC-default,Empirical,FPC,FALSE,0.7998398084450637,0.5335117405973488,1.4991981386379978,1.4991981386379978,1
2re,2,50,10,"d=50, n_i=10",PACE-AIC-default,FPC,FPC,TRUE,0.8665295473607763,0.5335117405973488,1.6241995844188217,1.4991981386379978,1.0833788693830597
