case,subcase_id,subcase,method,GP_method,RMISE,coverage,CI_width,rmw2,rmw2_emp,n_expected,n_read,fit_fail,pred_fail,CI_fail,OOM,Timeout,unknown_missing,mean_time_total,mean_time_fit,max_time_fit,oracle_RMISE,rel_RMISE,rel_rmw2_emp_bound
2re,1,"d=50, n_i=2",AdaStruMM,FPC,1.958905910485396,0.9428,2.1039658882258645,0.6076563492962608,0.43194128507626256,2,2,0,0,0,0,0,0,0.43267500000000003,0.010475000000000012,0.012400000000000012,1.340797511293931,1.4610005567469784,1.4068031241537247
2re,1,"d=50, n_i=2",Di-95,Empirical,4.045089419167235,0,0,1.1710769863182855,0.2768786110380894,2,2,0.5,0,0,0,0,0,0.04731666666666667,0.0031833333333333306,0.0037833333333333386,1.340797511293931,3.01692789932429,4.229568264329322
2re,1,"d=50, n_i=2",Di-99,Empirical,8.217570767291669,0,0,2.0950169060579125,0.2768786110380894,2,2,0.5,0,0,0,0,0,0.041133333333333334,0.0029666666666666656,0.0037666666666666664,1.340797511293931,6.128867855192643,7.566553798443127
2re,1,"d=50, n_i=2",Di-Oracle,Empirical,16.594495259526127,0,0,4.6777614383288215,0.43194128507626256,2,2,0,0,0,0,0,0,0.034291666666666665,0.0027416666666666644,0.00321666666666666,1.340797511293931,12.3765856661769,10.829623376943296
2re,1,"d=50, n_i=2",FACE-95,FPC,17.579967674150257,0.765,3.5229371367125326,1.0824603329600486,0.43194128507626256,2,2,0,0,0,0,0,0,0.08279166666666668,0.01849166666666667,0.018616666666666667,1.340797511293931,13.111575406479375,2.5060358209772238
2re,1,"d=50, n_i=2",FACE-99,FPC,17.579967674150257,0.765,3.5229371367125326,1.1175370187559839,0.43194128507626256,2,2,0,0,0,0,0,0,0.08335833333333334,0.018933333333333337,0.019483333333333342,1.340797511293931,13.111575406479375,2.5872428901040894
2re,1,"d=50, n_i=2",Goldsmith-95,Empirical,6.212552943625895,0.9735,12.88512001708958,1.526795938990772,0.43194128507626256,2,2,0,0,0,0,0,0,0.3073416666666666,0.2765666666666667,0.2847333333333334,1.340797511293931,4.633475891248111,3.53473027872574
2re,1,"d=50, n_i=2",Goldsmith-99,Empirical,5.6684140721923,0.9566,7.474354550475272,1.279444199130153,0.43194128507626256,2,2,0,0,0,0,0,0,0.31411666666666666,0.2838583333333333,0.29584999999999995,1.340797511293931,4.22764364077766,2.9620789753965227
2re,1,"d=50, n_i=2",HGAM-GS,Empirical,5.72433774778316,0.7315,2.7806125413268914,1.2214902818576707,0.43194128507626256,2,2,0,0,0,0,0,0,0.07056666666666667,0.02046666666666667,0.02458333333333333,1.340797511293931,4.269352903451403,2.827908153401005
2re,1,"d=50, n_i=2",Local-GAM,NA,NA,NA,NA,NA,NA,2,2,1,0,0,0,0,0,0.021925000000000007,2.666666666666669e-4,2.666666666666669e-4,1.340797511293931,NA,NA
