method,GP_method,chosen_GP_method,chosen,n_cells,n_cases,geometric_mean_rel_rmw2_emp_bound,mean_rel_rmw2_emp_bound,max_rel_rmw2_emp_bound,geometric_mean_rel_to_best,mean_rel_to_best,max_rel_to_best,n_best,prop_within_05,prop_within_10
AdaStruMM,FPC,FPC,TRUE,15,3,1.200035273784139,1.3633737182180026,4.056474247394167,1.051603278766038,1.0560298239455272,1.3810472086605012,8,0.7333333333333333,0.7333333333333333
AdaStruMM,EmpiricalCorrected,FPC,FALSE,15,3,1.2491526012908798,1.3807879947518484,4.05273246498894,1.0946452990955213,1.1083438187913923,1.7907097579009852,4,0.6,0.6666666666666666
AdaStruMM,Empirical,FPC,FALSE,15,3,1.3155925821993824,1.4932374033287898,4.9092449019234525,1.1528673391395725,1.1699942580996483,1.791444525973453,3,0.3333333333333333,0.5333333333333333
Di-95,Empirical,Empirical,TRUE,11,3,3.8969560976492432,7.892434905884866,50.492706600168425,1,1,1,11,1,1
Di-99,Empirical,Empirical,TRUE,10,3,5.720396099577511,46.00068909658117,419.8757257628963,1,1,1,10,1,1
Di-Oracle,Empirical,Empirical,TRUE,6,2,4.946705518793491,21.71518528776488,111.6967583268885,1,1,1,6,1,1
FACE-95,Empirical,FPC,FALSE,15,3,2.322763176655349,3.060363176741497,11.604304296603694,1.158589813002626,1.2960561707513134,4.630542069457976,10,0.8,0.8
FACE-95,Direct,FPC,FALSE,15,3,2.521394769179011,2.779454424661196,5.337478702853759,1.25766686999721,1.3136051347380293,2.3106486454177118,4,0.4666666666666667,0.4666666666666667
FACE-95,FPC,FPC,TRUE,15,3,2.5408601482826505,2.7875426945811794,5.683117040485281,1.2673761637221885,1.3230520086618545,2.5152960682541248,1,0.26666666666666666,0.4
FACE-99,Empirical,FPC,FALSE,15,3,2.322763176655349,3.060363176741497,11.604304296603694,1.1561292184456498,1.2863667635096607,4.485200960833187,10,0.8,0.8
FACE-99,Direct,FPC,FALSE,15,3,2.521394769179011,2.779454424661196,5.337478702853759,1.2549958571675834,1.3114347556320975,2.3106486454177118,4,0.4666666666666667,0.4666666666666667
FACE-99,FPC,FPC,TRUE,15,3,2.5384693762486545,2.7955593788127544,5.3168626488738555,1.2634945505880288,1.3180150711562706,2.3018402284090773,1,0.4666666666666667,0.4666666666666667
Goldsmith-95,Empirical,Empirical,TRUE,7,3,4.148885948629836,8.454402609456219,40.466930991665414,1,1,1,7,1,1
Goldsmith-99,Empirical,Empirical,TRUE,7,3,3.5555880163252076,7.091025475469647,33.682391808128536,1,1,1,7,1,1
HGAM-GS,Empirical,Empirical,TRUE,15,3,2.1766466240306226,2.5839931639341134,6.446979755377606,1,1,1,15,1,1
Local-GAM,Empirical,Empirical,TRUE,9,3,2.0658377777942096,2.2558811848992635,3.5938676833688135,1,1,1,9,1,1
Oracle-GP,Individual,Individual,TRUE,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
Oracle-SITAR,Individual,Individual,TRUE,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
PACE-AIC-GCV,Direct,FPC,FALSE,15,3,2.6684293098431233,2.8697340168785277,6.578864540057606,1.0746583145436497,1.0938699061800419,1.8758471007519633,9,0.8,0.8666666666666667
PACE-AIC-GCV,FPC,FPC,TRUE,15,3,2.721488058090239,2.995727563274064,7.245523851710306,1.0960266995905046,1.0998599277055006,1.302748038374915,2,0.4666666666666667,0.6
PACE-AIC-GCV,Empirical,FPC,FALSE,15,3,2.855376281274733,3.3605954174963526,9.74827496818642,1.1499475929542307,1.1836298693655583,2.342419107569623,4,0.5333333333333333,0.6666666666666666
PACE-AIC-default,Empirical,FPC,FALSE,15,3,2.9113265154571555,3.5200674582863725,11.372580907884752,1.0838770380383704,1.0931220446974441,1.4742505142306737,9,0.6,0.6666666666666666
PACE-AIC-default,FPC,FPC,TRUE,15,3,2.928413421914624,3.389908200929728,8.070378914875318,1.0902384356562709,1.101657722136909,1.5502887769163554,4,0.6666666666666666,0.8
PACE-AIC-default,Direct,FPC,FALSE,15,3,3.144475795899061,4.057458935315587,15.757092917407155,1.1706777284330951,1.203686263232906,1.9742995752248569,2,0.5333333333333333,0.6
PACE-BIC-GCV,Direct,FPC,FALSE,15,3,2.6684293098431233,2.8697340168785277,6.578864540057606,1.0746583145436497,1.0938699061800419,1.8758471007519633,9,0.8,0.8666666666666667
PACE-BIC-GCV,FPC,FPC,TRUE,15,3,2.721488058090239,2.995727563274064,7.245523851710306,1.0960266995905046,1.0998599277055006,1.302748038374915,2,0.4666666666666667,0.6
PACE-BIC-GCV,Empirical,FPC,FALSE,15,3,2.855376281274733,3.3605954174963526,9.74827496818642,1.1499475929542307,1.1836298693655583,2.342419107569623,4,0.5333333333333333,0.6666666666666666
PACE-BIC-default,Empirical,FPC,FALSE,15,3,2.9113265154571555,3.5200674582863725,11.372580907884752,1.0838770380383704,1.0931220446974441,1.4742505142306737,9,0.6,0.6666666666666666
PACE-BIC-default,FPC,FPC,TRUE,15,3,2.928413421914624,3.389908200929728,8.070378914875318,1.0902384356562709,1.101657722136909,1.5502887769163554,4,0.6666666666666666,0.8
PACE-BIC-default,Direct,FPC,FALSE,15,3,3.144475795899061,4.057458935315587,15.757092917407155,1.1706777284330951,1.203686263232906,1.9742995752248569,2,0.5333333333333333,0.6
PACE-FVE95-GCV,Direct,FPC,FALSE,15,3,2.6684293098431233,2.8697340168785277,6.578864540057606,1.0183836434877225,1.0200887627784359,1.2496709846132732,13,0.8666666666666667,0.9333333333333333
PACE-FVE95-GCV,FPC,FPC,TRUE,15,3,2.9613708190551344,3.244010242125466,7.245523851710306,1.1301823111082856,1.141167733782772,1.738706804897206,0,0.3333333333333333,0.4666666666666667
PACE-FVE95-GCV,Empirical,FPC,FALSE,15,3,3.1332370740601103,3.542029303584409,9.74827496818642,1.195773624439665,1.210863988549149,1.7317140973229002,2,0.26666666666666666,0.4
PACE-FVE95-default,Direct,FPC,FALSE,15,3,3.144475795899061,4.057458935315587,15.757092917407155,1.1192280126676772,1.1433802626676228,2.0361148613806743,7,0.5333333333333333,0.7333333333333333
PACE-FVE95-default,Empirical,FPC,FALSE,15,3,3.160046601291438,3.686764693295435,10.783535978396845,1.1247702024335118,1.1417997085350098,1.7468180811903182,6,0.5333333333333333,0.6666666666666666
PACE-FVE95-default,FPC,FPC,TRUE,15,3,3.3774453784096363,4.206429778525704,15.40726564272576,1.2021499684306658,1.2345634531225218,2.058460144522111,2,0.4666666666666667,0.6
PACE-FVE99-GCV,Direct,FPC,FALSE,15,3,2.6684293098431233,2.8697340168785277,6.578864540057606,1.0872901922853337,1.1049490134151945,1.8299185637972297,7,0.6666666666666666,0.8
PACE-FVE99-GCV,FPC,FPC,TRUE,15,3,2.684121803451603,2.8944958133617837,6.607175149985371,1.093684326216505,1.1045743090543563,1.6606082282216346,3,0.6,0.7333333333333333
PACE-FVE99-GCV,Empirical,FPC,FALSE,15,3,2.798278552600567,3.2903238190008404,9.679519997580238,1.1401991479788782,1.1724180324391693,2.3119929749674233,5,0.5333333333333333,0.6666666666666666
