case,quantity,metric,n_obs_per_cluster,n_clusters,comparison_method,comparison_estimate,adastrumm_estimate,numerator,denominator,numerator_estimate,denominator_estimate,value,oracle_estimate
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,50,HGAM-GS,8.667900221670422,7.823615899066374,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,8.667900221670422,7.823615899066374,1.1079148482615053,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,100,HGAM-GS,7.553316119475337,6.954453690686395,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,7.553316119475337,6.954453690686395,1.086112073704791,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,200,HGAM-GS,7.373079365275789,6.58432150339631,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,7.373079365275789,6.58432150339631,1.1197933395981081,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,300,HGAM-GS,6.752085004775083,6.204706012593102,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,6.752085004775083,6.204706012593102,1.0882199722389776,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,400,HGAM-GS,6.7810795289555275,6.318566890537848,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,6.7810795289555275,6.318566890537848,1.0731989779375921,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,500,HGAM-GS,6.628185137584488,5.915368852386297,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,6.628185137584488,5.915368852386297,1.1205024239377122,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,3,50,HGAM-GS,5.467650481350186,4.544533470037001,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,5.467650481350186,4.544533470037001,1.2031269034323273,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,3,100,HGAM-GS,5.250544109848604,4.106090586136899,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,5.250544109848604,4.106090586136899,1.2787209633356948,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,3,200,HGAM-GS,5.206789784207447,4.0902694845012855,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,5.206789784207447,4.0902694845012855,1.2729698627283224,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,3,300,HGAM-GS,5.1918273054032555,3.6455037650366675,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,5.1918273054032555,3.6455037650366675,1.4241728002579732,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,3,400,HGAM-GS,5.096952493024861,3.6523520840498276,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,5.096952493024861,3.6523520840498276,1.3955260543702077,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,3,500,FACE,4.973183594063666,3.3867768667259353,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,4.973183594063666,3.3867768667259353,1.4684119414313062,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,5,50,HGAM-GS,2.6672382196929885,1.494956581944151,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,2.6672382196929885,1.494956581944151,1.784157648394254,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,5,100,HGAM-GS,2.6740316987804005,1.4361178576688785,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,2.6740316987804005,1.4361178576688785,1.8619862461155638,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,5,200,HGAM-GS,2.6426884222794986,1.385229036771288,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,2.6426884222794986,1.385229036771288,1.9077627974353721,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,5,300,HGAM-GS,2.630130628952323,1.3693321522714206,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,2.630130628952323,1.3693321522714206,1.9207397011671092,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,5,400,FACE,2.5315329986904285,1.3407638148900327,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,2.5315329986904285,1.3407638148900327,1.888127476723453,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,5,500,FACE,2.273727560403375,1.344904688154618,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,2.273727560403375,1.344904688154618,1.6906235664351956,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,10,50,HGAM-GS,1.2040160234746646,0.9481557137716645,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,1.2040160234746646,0.9481557137716645,1.2698505171531524,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,10,100,HGAM-GS,1.1897651474566833,0.9264813156343006,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,1.1897651474566833,0.9264813156343006,1.284176083618189,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,10,200,HGAM-GS,1.1913275681085693,0.9176094742172684,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,1.1913275681085693,0.9176094742172684,1.2982947556473148,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,10,300,HGAM-GS,1.1856215097138598,0.9109466300080504,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,1.1856215097138598,0.9109466300080504,1.3015268629989685,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,10,400,FACE,1.1692041266105768,0.9047538947019249,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,1.1692041266105768,0.9047538947019249,1.2922896861314714,NA
sitar,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,10,500,FACE,1.139975630237522,0.905679647498072,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,1.139975630237522,0.905679647498072,1.2586963098781003,NA
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,2,50,Oracle,NA,7.823615899066374,AdaStruMM RMISE,oracle RMISE,7.823615899066374,3.4006624363701143,2.3006152611305177,3.4006624363701143
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,2,100,Oracle,NA,6.954453690686395,AdaStruMM RMISE,oracle RMISE,6.954453690686395,3.463687475334531,2.007817893562905,3.463687475334531
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,2,200,Oracle,NA,6.58432150339631,AdaStruMM RMISE,oracle RMISE,6.58432150339631,3.4286208142692343,1.9203994434128382,3.4286208142692343
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,2,300,Oracle,NA,6.204706012593102,AdaStruMM RMISE,oracle RMISE,6.204706012593102,3.4739005573722066,1.7860920052606755,3.4739005573722066
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,2,400,Oracle,NA,6.318566890537848,AdaStruMM RMISE,oracle RMISE,6.318566890537848,3.4085183703850936,1.853757616633874,3.4085183703850936
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,2,500,Oracle,NA,5.915368852386297,AdaStruMM RMISE,oracle RMISE,5.915368852386297,3.4147969137716836,1.7322754476349522,3.4147969137716836
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,3,50,Oracle,NA,4.544533470037001,AdaStruMM RMISE,oracle RMISE,4.544533470037001,1.4716124333357372,3.088132015666519,1.4716124333357372
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,3,100,Oracle,NA,4.106090586136899,AdaStruMM RMISE,oracle RMISE,4.106090586136899,1.4782614394475935,2.7776484433438853,1.4782614394475935
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,3,200,Oracle,NA,4.0902694845012855,AdaStruMM RMISE,oracle RMISE,4.0902694845012855,1.4676395334941077,2.7869714539259562,1.4676395334941077
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,3,300,Oracle,NA,3.6455037650366675,AdaStruMM RMISE,oracle RMISE,3.6455037650366675,1.466817486562166,2.485315179587045,1.466817486562166
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,3,400,Oracle,NA,3.6523520840498276,AdaStruMM RMISE,oracle RMISE,3.6523520840498276,1.4603553135574232,2.501002358907233,1.4603553135574232
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,3,500,Oracle,NA,3.3867768667259353,AdaStruMM RMISE,oracle RMISE,3.3867768667259353,1.4654940228684983,2.311013770016473,1.4654940228684983
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,5,50,Oracle,NA,1.494956581944151,AdaStruMM RMISE,oracle RMISE,1.494956581944151,0.9906900499150835,1.509005346396979,0.9906900499150835
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,5,100,Oracle,NA,1.4361178576688785,AdaStruMM RMISE,oracle RMISE,1.4361178576688785,0.9848155554264632,1.4582607370036758,0.9848155554264632
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,5,200,Oracle,NA,1.385229036771288,AdaStruMM RMISE,oracle RMISE,1.385229036771288,0.9829960050302057,1.4091909119495583,0.9829960050302057
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,5,300,Oracle,NA,1.3693321522714206,AdaStruMM RMISE,oracle RMISE,1.3693321522714206,0.980172379211093,1.3970319724511608,0.980172379211093
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,5,400,Oracle,NA,1.3407638148900327,AdaStruMM RMISE,oracle RMISE,1.3407638148900327,0.9800398044770158,1.3680707750492973,0.9800398044770158
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,5,500,Oracle,NA,1.344904688154618,AdaStruMM RMISE,oracle RMISE,1.344904688154618,0.9796897270597733,1.3727863536866116,0.9796897270597733
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,10,50,Oracle,NA,0.9481557137716645,AdaStruMM RMISE,oracle RMISE,0.9481557137716645,0.7080545564056567,1.3390997984461097,0.7080545564056567
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,10,100,Oracle,NA,0.9264813156343006,AdaStruMM RMISE,oracle RMISE,0.9264813156343006,0.7009173853646121,1.321812434645706,0.7009173853646121
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,10,200,Oracle,NA,0.9176094742172684,AdaStruMM RMISE,oracle RMISE,0.9176094742172684,0.6998123931873617,1.3112220977366937,0.6998123931873617
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,10,300,Oracle,NA,0.9109466300080504,AdaStruMM RMISE,oracle RMISE,0.9109466300080504,0.69934290451642,1.3025750660013484,0.69934290451642
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,10,400,Oracle,NA,0.9047538947019249,AdaStruMM RMISE,oracle RMISE,0.9047538947019249,0.7009748118034501,1.2907081388191355,0.7009748118034501
sitar,AdaStruMM RMISE / oracle RMISE,RMISE,10,500,Oracle,NA,0.905679647498072,AdaStruMM RMISE,oracle RMISE,0.905679647498072,0.6997233898448547,1.294339535654057,0.6997233898448547
sitar,AdaStruMM CI coverage,coverage,2,50,NA,NA,0.936182,AdaStruMM coverage,NA,0.936182,NA,0.936182,NA
