case,subcase_id,n_clusters,n_obs_per_cluster,method,method_label,metric,n_expected,n_available,prop_metric_missing,show_metric,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_ci_fail
sitar,1,50,2,AdaStruMM,AdaStruMM,RMISE,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,AdaStruMM,AdaStruMM,ci_width,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,AdaStruMM,AdaStruMM,coverage,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,AdaStruMM,AdaStruMM,rmw2,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,AdaStruMM,AdaStruMM,time,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,FACE,FACE,RMISE,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,FACE,FACE,ci_width,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,FACE,FACE,coverage,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,FACE,FACE,rmw2,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,FACE,FACE,time,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,HGAM-GS,HGAM-GS,RMISE,100,99,0.010000000000000009,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0,0,0
sitar,1,50,2,HGAM-GS,HGAM-GS,ci_width,100,99,0.010000000000000009,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0,0,0
sitar,1,50,2,HGAM-GS,HGAM-GS,coverage,100,99,0.010000000000000009,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0,0,0
sitar,1,50,2,HGAM-GS,HGAM-GS,rmw2,100,99,0.010000000000000009,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0,0,0
sitar,1,50,2,HGAM-GS,HGAM-GS,time,100,100,0,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0,0,0
sitar,1,50,2,Oracle-SITAR,Individual oracle bound,RMISE,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,Oracle-SITAR,Individual oracle bound,ci_width,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,Oracle-SITAR,Individual oracle bound,coverage,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,Oracle-SITAR,Individual oracle bound,rmw2,100,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,Oracle-SITAR,Individual oracle bound,time,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,PACE,PACE,RMISE,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,PACE,PACE,ci_width,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,PACE,PACE,coverage,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,PACE,PACE,rmw2,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,PACE,PACE,time,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,1,50,2,SITAR,SITAR,RMISE,100,27,0.73,TRUE,0,0,0,0,73,0,0,27,0,0,0,0,0.73,0,0,0.27
sitar,1,50,2,SITAR,SITAR,ci_width,100,0,1,FALSE,0,0,0,0,73,0,0,27,0,0,0,0,0.73,0,0,0.27
sitar,1,50,2,SITAR,SITAR,coverage,100,0,1,FALSE,0,0,0,0,73,0,0,27,0,0,0,0,0.73,0,0,0.27
sitar,1,50,2,SITAR,SITAR,rmw2,100,27,0.73,TRUE,0,0,0,0,73,0,0,27,0,0,0,0,0.73,0,0,0.27
sitar,1,50,2,SITAR,SITAR,time,100,100,0,TRUE,0,0,0,0,73,0,0,27,0,0,0,0,0.73,0,0,0.27
sitar,5,100,2,AdaStruMM,AdaStruMM,RMISE,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,AdaStruMM,AdaStruMM,ci_width,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,AdaStruMM,AdaStruMM,coverage,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,AdaStruMM,AdaStruMM,rmw2,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,AdaStruMM,AdaStruMM,time,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,FACE,FACE,RMISE,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,FACE,FACE,ci_width,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,FACE,FACE,coverage,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,FACE,FACE,rmw2,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,FACE,FACE,time,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,HGAM-GS,HGAM-GS,RMISE,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,HGAM-GS,HGAM-GS,ci_width,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,HGAM-GS,HGAM-GS,coverage,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,HGAM-GS,HGAM-GS,rmw2,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,HGAM-GS,HGAM-GS,time,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,Oracle-SITAR,Individual oracle bound,RMISE,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,Oracle-SITAR,Individual oracle bound,ci_width,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,Oracle-SITAR,Individual oracle bound,coverage,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,Oracle-SITAR,Individual oracle bound,rmw2,100,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,Oracle-SITAR,Individual oracle bound,time,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,PACE,PACE,RMISE,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,PACE,PACE,ci_width,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,PACE,PACE,coverage,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,PACE,PACE,rmw2,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,PACE,PACE,time,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,5,100,2,SITAR,SITAR,RMISE,100,25,0.75,TRUE,0,0,0,0,75,0,0,25,0,0,0,0,0.75,0,0,0.25
sitar,5,100,2,SITAR,SITAR,ci_width,100,0,1,FALSE,0,0,0,0,75,0,0,25,0,0,0,0,0.75,0,0,0.25
sitar,5,100,2,SITAR,SITAR,coverage,100,0,1,FALSE,0,0,0,0,75,0,0,25,0,0,0,0,0.75,0,0,0.25
sitar,5,100,2,SITAR,SITAR,rmw2,100,24,0.76,TRUE,0,0,0,0,75,0,0,25,0,0,0,0,0.75,0,0,0.25
sitar,5,100,2,SITAR,SITAR,time,100,100,0,TRUE,0,0,0,0,75,0,0,25,0,0,0,0,0.75,0,0,0.25
sitar,9,200,2,AdaStruMM,AdaStruMM,RMISE,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,9,200,2,AdaStruMM,AdaStruMM,ci_width,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,9,200,2,AdaStruMM,AdaStruMM,coverage,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,9,200,2,AdaStruMM,AdaStruMM,rmw2,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,9,200,2,AdaStruMM,AdaStruMM,time,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,9,200,2,FACE,FACE,RMISE,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,9,200,2,FACE,FACE,ci_width,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,9,200,2,FACE,FACE,coverage,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitar,9,200,2,FACE,FACE,rmw2,100,100,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
