case,subcase_id,method,metric,estimate,lower,upper,n_available,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label,prop_metric_missing,show_metric,method_label,reference_type,reference_label
sitar,1,Oracle-SITAR,RMISE,3.4006624363701143,3.270391037786178,3.526124284855157,100,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,3.6850193333333325,2.043738166666668,4.1517833333333325,2.3745499999999993,50,2,"d=50, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
sitar,5,Oracle-SITAR,RMISE,3.463687475334531,3.377270539029663,3.5480002198112786,100,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,6.908833333333335,3.9560445000000013,7.582716666666666,4.348516666666668,100,2,"d=100, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
sitar,9,Oracle-SITAR,RMISE,3.4286208142692343,3.372361110798256,3.4839721460505397,100,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,13.389765166666667,7.812804333333333,16.2443,10.254566666666667,200,2,"d=200, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
sitar,13,Oracle-SITAR,RMISE,3.4739005573722066,3.4134748273242006,3.5332930487359624,100,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,20.381702833333335,11.973663666666665,23.632783333333336,14.594366666666668,300,2,"d=300, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
sitar,17,Oracle-SITAR,RMISE,3.4085183703850936,3.3672872702218797,3.4492566448884303,100,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,26.9219555,15.747548833333333,28.97563333333331,17.078150000000004,400,2,"d=400, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
sitar,21,Oracle-SITAR,RMISE,3.4147969137716836,3.3760127765330905,3.453145472941238,100,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,36.58623133333334,22.0501435,65.38945,47.799166666666665,500,2,"d=500, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
sitar,2,Oracle-SITAR,RMISE,1.4716124333357372,1.441645763609779,1.5009809459692138,100,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,3.5812524999999993,1.9651741666666664,3.8540999999999865,2.146483333333314,50,3,"d=50, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
sitar,6,Oracle-SITAR,RMISE,1.4782614394475935,1.4565423594528397,1.499666003427062,100,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,6.896993500000001,3.926989500000001,7.225883333333334,4.105216666666668,100,3,"d=100, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
sitar,10,Oracle-SITAR,RMISE,1.4676395334941077,1.454005290834094,1.4811482757563692,100,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,13.337584,7.7240294999999985,14.366466666666671,8.385233333333334,200,3,"d=200, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
sitar,14,Oracle-SITAR,RMISE,1.466817486562166,1.4549095432058279,1.4786295340137465,100,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,20.621254666666665,12.154234666666667,53.396449999999994,38.2461,300,3,"d=300, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
