case,subcase_id,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label
sitar,1,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6706976666666675,0.01599333333333365,0.8723333333333334,0.03011666666666315,50,2,"d=50, n_i=2"
sitar,1,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35806716666666694,0.022686000000000605,0.3885333333333392,0.03296666666666776,50,2,"d=50, n_i=2"
sitar,1,HGAM-GS,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.4391680000000002,0.03787650000000002,1.0944666666666667,0.45883333333333287,50,2,"d=50, n_i=2"
sitar,1,Oracle-SITAR,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,3.6850193333333325,2.043738166666668,4.1517833333333325,2.3745499999999993,50,2,"d=50, n_i=2"
sitar,1,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22546849999999966,0.0026571666666660955,0.24026666666666946,0.002816666666664484,50,2,"d=50, n_i=2"
sitar,1,SITAR,100,100,0,0,0,0,0,73,0,0,0,27,0,0,0,0,0.73,0,0,0,0.27,0.3027878333333337,0.09112266666666657,0.6234,0.4121999999999995,50,2,"d=50, n_i=2"
sitar,2,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6782854999999999,0.02273216666666689,1.0530999999999948,0.042300000000000185,50,3,"d=50, n_i=3"
sitar,2,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27926716666666546,0.016446833333331846,0.31291666666669093,0.024433333333333352,50,3,"d=50, n_i=3"
sitar,2,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24737916666666704,0.01597283333333407,0.3322999999999998,0.03669999999999997,50,3,"d=50, n_i=3"
sitar,2,Local-GAM,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.35837666666666684,0.060457499999999685,0.5495166666666667,0.08513333333333245,50,3,"d=50, n_i=3"
sitar,2,Oracle-SITAR,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,3.5812524999999993,1.9651741666666664,3.8540999999999865,2.146483333333314,50,3,"d=50, n_i=3"
