case,subcase_id,n_clusters,n_obs_per_cluster,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit
sitar,1,50,2,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8615066666666666,0.019336666666666662,1.1300666666666668,0.023666666666666693
sitar,1,50,2,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45315666666666665,0.01887333333333332,0.47741666666666666,0.02238333333333333
sitar,1,50,2,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48921000000000003,0.040299999999999996,0.5609666666666667,0.1282333333333333
sitar,1,50,2,Oracle-SITAR,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,3.83128,1.9801033333333333,3.8526000000000002,1.9946833333333334
sitar,1,50,2,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43474333333333337,0.01128333333333335,0.4822666666666667,0.013516666666666666
sitar,1,50,2,SITAR,5,5,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0.6,0,0,0,0.4,0.5053766666666667,0.16156,0.6741,0.3168166666666667
sitar,2,50,3,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8885066666666667,0.022013333333333343,1.56525,0.025766666666666656
sitar,2,50,3,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5036366666666666,0.022336666666666668,0.54125,0.024783333333333366
sitar,2,50,3,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35601333333333335,0.016666666666666653,0.5138499999999999,0.01756666666666664
sitar,2,50,3,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59749,0.09009333333333333,0.7877333333333333,0.12521666666666664
sitar,2,50,3,Oracle-SITAR,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,6.539140000000001,4.133666666666667,8.268716666666668,5.744649999999999
sitar,2,50,3,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5007433333333333,0.022389999999999983,0.9310333333333334,0.040866666666666634
sitar,2,50,3,SITAR,5,5,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0.8,0,0,0,0.2,0.41741333333333336,0.10758000000000001,0.5989666666666668,0.29955
sitar,3,50,5,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8329366666666667,0.05686333333333332,1.1468166666666666,0.06973333333333329
sitar,3,50,5,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3982566666666667,0.017093333333333335,0.43086666666666673,0.019216666666666646
sitar,3,50,5,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38822999999999996,0.007749999999999997,0.4128833333333333,0.00878333333333335
sitar,3,50,5,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37118333333333337,0.020913333333333336,0.3828666666666667,0.02196666666666663
sitar,3,50,5,Oracle-SITAR,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,3.70173,2.0386100000000003,3.7252,2.0513
sitar,3,50,5,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40177,0.029556666666666693,0.41509999999999997,0.030600000000000033
sitar,3,50,5,SITAR,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0.5250733333333333,0.14848333333333333,0.9734,0.5691166666666667
sitar,4,50,10,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8354933333333333,0.12638,0.8990000000000001,0.16604999999999995
sitar,4,50,10,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5194266666666667,0.027646666666666656,0.7001666666666666,0.049733333333333365
sitar,4,50,10,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47312666666666664,0.010560000000000009,0.5343333333333333,0.012483333333333372
sitar,4,50,10,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49217333333333335,0.03548000000000002,0.7766500000000001,0.06519999999999998
sitar,4,50,10,Oracle-SITAR,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,3.9643,2.09511,4.0060666666666664,2.13165
sitar,4,50,10,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5549366666666666,0.13199333333333335,0.5962999999999999,0.13615000000000002
sitar,4,50,10,SITAR,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0.4132,0.015236666666666636,0.5172000000000001,0.038966666666666684
sitar,5,100,2,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1346166666666668,0.03563999999999998,1.1908500000000002,0.050233333333333324
sitar,5,100,2,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4974166666666667,0.030159999999999996,0.49855,0.0313
