case,subcase_id,method
sitar,1,AdaStruMM
sitar,2,AdaStruMM
sitar,3,AdaStruMM
sitar,4,AdaStruMM
sitar,5,AdaStruMM
sitar,6,AdaStruMM
sitar,7,AdaStruMM
sitar,8,AdaStruMM
sitar,9,AdaStruMM
sitar,10,AdaStruMM
sitar,11,AdaStruMM
sitar,12,AdaStruMM
sitar,13,AdaStruMM
sitar,14,AdaStruMM
sitar,15,AdaStruMM
sitar,16,AdaStruMM
sitar,17,AdaStruMM
sitar,18,AdaStruMM
sitar,19,AdaStruMM
sitar,20,AdaStruMM
sitar,21,AdaStruMM
sitar,22,AdaStruMM
sitar,23,AdaStruMM
sitar,24,AdaStruMM
sitar,1,FACE
sitar,2,FACE
sitar,3,FACE
sitar,4,FACE
sitar,5,FACE
sitar,6,FACE
sitar,7,FACE
sitar,8,FACE
sitar,9,FACE
sitar,10,FACE
sitar,11,FACE
sitar,12,FACE
sitar,13,FACE
sitar,14,FACE
sitar,15,FACE
sitar,16,FACE
sitar,17,FACE
sitar,18,FACE
sitar,19,FACE
sitar,20,FACE
sitar,21,FACE
sitar,22,FACE
sitar,23,FACE
sitar,24,FACE
sitar,1,HGAM-GS
sitar,2,HGAM-GS
sitar,3,HGAM-GS
sitar,4,HGAM-GS
sitar,5,HGAM-GS
sitar,6,HGAM-GS
sitar,7,HGAM-GS
sitar,8,HGAM-GS
sitar,9,HGAM-GS
sitar,10,HGAM-GS
sitar,11,HGAM-GS
sitar,12,HGAM-GS
sitar,13,HGAM-GS
sitar,14,HGAM-GS
sitar,15,HGAM-GS
sitar,16,HGAM-GS
sitar,17,HGAM-GS
sitar,18,HGAM-GS
sitar,19,HGAM-GS
sitar,20,HGAM-GS
sitar,21,HGAM-GS
sitar,22,HGAM-GS
sitar,23,HGAM-GS
sitar,24,HGAM-GS
sitar,2,Local-GAM
sitar,3,Local-GAM
sitar,4,Local-GAM
sitar,6,Local-GAM
sitar,7,Local-GAM
sitar,8,Local-GAM
sitar,10,Local-GAM
sitar,11,Local-GAM
sitar,12,Local-GAM
sitar,14,Local-GAM
sitar,15,Local-GAM
sitar,16,Local-GAM
sitar,18,Local-GAM
sitar,19,Local-GAM
sitar,20,Local-GAM
sitar,22,Local-GAM
sitar,23,Local-GAM
sitar,24,Local-GAM
sitar,1,Oracle-SITAR
sitar,2,Oracle-SITAR
sitar,3,Oracle-SITAR
sitar,4,Oracle-SITAR
sitar,5,Oracle-SITAR
sitar,6,Oracle-SITAR
sitar,7,Oracle-SITAR
sitar,8,Oracle-SITAR
sitar,9,Oracle-SITAR
sitar,10,Oracle-SITAR
sitar,11,Oracle-SITAR
sitar,12,Oracle-SITAR
sitar,13,Oracle-SITAR
sitar,14,Oracle-SITAR
sitar,15,Oracle-SITAR
sitar,16,Oracle-SITAR
sitar,17,Oracle-SITAR
sitar,18,Oracle-SITAR
sitar,19,Oracle-SITAR
sitar,20,Oracle-SITAR
sitar,21,Oracle-SITAR
sitar,22,Oracle-SITAR
sitar,23,Oracle-SITAR
sitar,24,Oracle-SITAR
sitar,1,PACE
sitar,2,PACE
sitar,3,PACE
sitar,4,PACE
sitar,5,PACE
sitar,6,PACE
sitar,7,PACE
sitar,8,PACE
sitar,9,PACE
sitar,10,PACE
sitar,11,PACE
sitar,12,PACE
sitar,13,PACE
sitar,14,PACE
sitar,15,PACE
sitar,16,PACE
sitar,17,PACE
sitar,18,PACE
sitar,19,PACE
sitar,20,PACE
sitar,21,PACE
sitar,22,PACE
sitar,23,PACE
sitar,24,PACE
